,ARKMUSDT,BTCUSDT,Spread,ZScore
131,0.51785,6785.68,0.51785,1.9552921486673094
132,0.51811,6786.78,0.51811,1.8413747627867965
133,0.51828,6788.04,0.51828,1.7157478880768817
134,0.51836,6788.82,0.51836,1.585387279932111
135,0.51848,6789.1,0.51848,1.502791790184895
136,0.5185,6793.29,0.5185,1.4027984397480555
137,0.51864,6794.15,0.51864,1.386843076778354
138,0.51901,6794.75,0.51901,1.467414735615038
139,0.51944,6795.69,0.51944,1.5378010334573493
140,0.5196,6797.66,0.5196,1.4806441400482748
141,0.51973,6797.96,0.51973,1.4214613905201352
142,0.51983,6798.12,0.51983,1.3529433105411326
143,0.51986,6798.32,0.51986,1.255987568334638
144,0.51989,6801.64,0.51989,1.1771677091487793
145,0.52036,6802.77,0.52036,1.346119260656879
146,0.5208,6804.66,0.5208,1.4820211126239182
147,0.52088,6810.85,0.52088,1.4258490454017856
148,0.52094,6825.43,0.52094,1.3802620601102
149,0.52126,6827.32,0.52126,1.5063461703346452
150,0.52141,6830.26,0.52141,1.5370499902538657
151,0.5215,6836.71,0.5215,1.5722570256842738
152,0.5216,6840.69,0.5216,1.5090617797263701
153,0.52169,6841.04,0.52169,1.443679520451645
154,0.52187,6841.38,0.52187,1.4539717443097695
155,0.52218,6841.76,0.52218,1.5626264504173752
156,0.52241,6843.7,0.52241,1.6003256762997118
157,0.52291,6844.24,0.52291,1.8320046745819434
158,0.52367,6849.86,0.52367,2.165796378630222
159,0.52373,6857.06,0.52373,1.9540779082790916
160,0.52384,6858.07,0.52384,1.8019771003887943
161,0.52384,6859.38,0.52384,1.6149074212233272
162,0.52741,6868.07,0.52741,3.0153471183297387
163,0.53124,6873.23,0.53124,3.2996296835057874
164,0.53142,6914.59,0.53142,2.6057623642279304
165,0.53215,6916.31,0.53215,2.3108201343946795
166,0.53312,6925.91,0.53312,2.1448986340347918
167,0.53395,6930.02,0.53395,1.990441488794269
168,0.53483,6944.91,0.53483,1.8785794433567857
169,0.53595,6958.53,0.53595,1.8240676778736404
170,0.53626,6991.3,0.53626,1.6565525451802723
171,0.53631,7003.98,0.53631,1.4861474732847906
172,0.53712,7014.71,0.53712,1.456415700067522
173,0.5377,7031.2,0.5377,1.3993866079021566
174,0.53772,7039.36,0.53772,1.273838445448838
175,0.54042,7077.27,0.54042,1.545160941772192
176,0.54204,7078.04,0.54204,1.6220306903328858
177,0.54215,7083.42,0.54215,1.4904634511366663
178,0.54488,7098.91,0.54488,1.728116207771031
179,0.54826,7099.63,0.54826,1.9810112536669842
180,0.55003,7101.03,0.55003,1.9849840584398228
181,0.55253,7104.76,0.55253,2.0707784467435624
182,0.55383,7134.5,0.55383,2.0221772689535427
183,0.55385,7143.43,0.55385,1.8096552523647036
184,0.55525,7144.86,0.55525,1.7561835522935205
185,0.55653,7206.16,0.55653,1.7007266971127828
186,0.55753,7216.12,0.55753,1.625988037903247
187,0.56111,7241.9,0.56111,1.801644787959278
188,0.56173,7252.3,0.56173,1.663679898484191
189,0.56257,7266.05,0.56257,1.571229932072917
190,0.56331,7266.12,0.56331,1.4844891333933896
191,0.56588,7276.72,0.56588,1.5738135536938707
192,0.56679,7288.28,0.56679,1.51084256351577
193,0.56685,7306.95,0.56685,1.387468955231317
194,0.56732,7310.25,0.56732,1.3237593093826563
195,0.5675,7321.61,0.5675,1.2547112481755833
196,0.56973,7331.58,0.56973,1.3943802751740741
197,0.57243,7348.1,0.57243,1.5733400705779592
198,0.57432,7367.02,0.57432,1.6754585784237885
199,0.58748,7376.98,0.58748,2.6700219259594307
