,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
207,BNXUSDT,SSVUSDT,0.03,-3.5,-3.37,0.05,1
206,BNXUSDT,SLPUSDT,0.0,-4.11,-3.37,29.22,1
205,BNXUSDT,SANDUSDT,0.0,-4.51,-3.37,2.38,1
204,BNXUSDT,RPLUSDT,0.02,-3.66,-3.37,0.05,1
203,BNXUSDT,RIFUSDT,0.0,-4.47,-3.37,16.76,1
142,ATOMUSDT,TRUUSDT,0.03,-3.57,-3.37,103.63,1
135,ASTRUSDT,SSVUSDT,0.0,-4.96,-3.37,0.01,1
540,JSTUSDT,STGUSDT,0.04,-3.47,-3.37,0.06,1
57,ADAUSDT,LSKUSDT,0.03,-3.54,-3.37,1.72,1
45,1INCHUSDT,XVSUSDT,0.02,-3.62,-3.37,0.61,1
48,AAVEUSDT,KEYUSDT,0.0,-4.32,-3.37,57927.9,1
49,AAVEUSDT,MASKUSDT,0.04,-3.42,-3.37,38.36,1
52,ACEUSDT,FLOWUSDT,0.04,-3.38,-3.37,1.04,1
54,ACHUSDT,SUIUSDT,0.04,-3.4,-3.37,0.03,1
56,ADAUSDT,IOSTUSDT,0.01,-3.79,-3.37,39.66,1
59,AGIUSDT,ARPAUSDT,0.05,-3.37,-3.37,0.41,1
134,ASTRUSDT,SNTUSDT,0.02,-3.65,-3.37,4.85,1
60,AGIUSDT,ETHUSDT,0.02,-3.66,-3.37,0.0,1
63,AGIUSDT,OXTUSDT,0.0,-12.81,-3.37,0.39,1
65,AGIXUSDT,DGBUSDT,0.0,-4.92,-3.37,12.18,1
70,AGIXUSDT,PERPUSDT,0.01,-3.95,-3.37,0.5,1
73,AGIXUSDT,TONUSDT,0.0,-7.4,-3.37,0.23,1
74,AGIXUSDT,USDCUSDT,0.01,-3.92,-3.37,0.42,1
44,1INCHUSDT,VETUSDT,0.01,-4.07,-3.37,20.11,1
41,1INCHUSDT,TIAUSDT,0.01,-3.85,-3.37,1.13,1
40,1INCHUSDT,STRAXUSDT,0.0,-4.18,-3.37,3.28,1
39,1INCHUSDT,SSVUSDT,0.02,-3.71,-3.37,0.07,1
32,1INCHUSDT,POLYXUSDT,0.0,-4.6,-3.37,9.71,1
30,1INCHUSDT,OMGUSDT,0.04,-3.42,-3.37,0.19,1
27,1INCHUSDT,LINKUSDT,0.0,-4.5,-3.37,0.25,1
24,1INCHUSDT,HOOKUSDT,0.0,-4.42,-3.37,0.94,1
23,1INCHUSDT,HIGHUSDT,0.0,-4.59,-3.37,0.79,1
22,1INCHUSDT,FORTHUSDT,0.0,-4.23,-3.37,0.9,1
21,1INCHUSDT,FLRUSDT,0.02,-3.77,-3.37,88.35,1
18,1INCHUSDT,CVCUSDT,0.01,-3.93,-3.37,6.16,1
17,1INCHUSDT,COREUSDT,0.01,-4.11,-3.37,0.82,1
15,1INCHUSDT,CEEKUSDT,0.01,-3.79,-3.37,10.32,1
8,1CATUSDT,XVSUSDT,0.03,-3.54,-3.37,0.0,1
4,1CATUSDT,HIFIUSDT,0.02,-3.69,-3.37,0.01,1
2,1CATUSDT,COTIUSDT,0.01,-3.94,-3.37,0.03,1
76,ALGOUSDT,API3USDT,0.01,-4.08,-3.37,0.28,1
77,ALGOUSDT,CRVUSDT,0.01,-3.91,-3.37,0.45,1
78,ALGOUSDT,DUSKUSDT,0.04,-3.4,-3.37,3.15,1
108,ANTUSDT,ICPUSDT,0.0,-4.89,-3.37,0.13,1
132,ASTRUSDT,AERGOUSDT,0.03,-3.56,-3.37,1.46,1
131,ASTRUSDT,ACHUSDT,0.03,-3.56,-3.37,6.61,1
129,ARPAUSDT,AAVEUSDT,0.0,-4.36,-3.37,0.0,1
128,ARPAUSDT,1CATUSDT,0.0,-4.85,-3.37,6.92,1
126,ARKMUSDT,XCNUSDT,0.04,-3.43,-3.37,479.15,1
122,ARKMUSDT,ARPAUSDT,0.03,-3.58,-3.37,7.41,1
119,APTUSDT,SUSHIUSDT,0.02,-3.73,-3.37,1.28,1
116,APTUSDT,FRONTUSDT,0.01,-3.81,-3.37,24.39,1
115,APTUSDT,ETHUSDT,0.01,-3.79,-3.37,0.0,1
114,ANTUSDT,XTZUSDT,0.0,-5.61,-3.37,3.33,1
113,ANTUSDT,TONUSDT,0.0,-8.1,-3.37,4.1,1
112,ANTUSDT,TOMIUSDT,0.0,-6.36,-3.37,3.13,1
111,ANTUSDT,MATICUSDT,0.01,-4.08,-3.37,4.96,1
110,ANTUSDT,KLAYUSDT,0.0,-6.38,-3.37,5.78,1
107,ANTUSDT,GODSUSDT,0.03,-3.53,-3.37,21.26,1
79,ALGOUSDT,ETHUSDT,0.0,-4.43,-3.37,0.0,1
106,ANTUSDT,ETHUSDT,0.03,-3.48,-3.37,0.0,1
103,AMBUSDT,MATICUSDT,0.0,-4.51,-3.37,0.01,1
101,AMBUSDT,ETHUSDT,0.02,-3.71,-3.37,0.0,1
99,ALPHAUSDT,YGGUSDT,0.01,-3.8,-3.37,0.06,1
98,ALPHAUSDT,SNXUSDT,0.0,-4.14,-3.37,0.06,1
97,ALPHAUSDT,OXTUSDT,0.0,-13.06,-3.37,7.14,1
96,ALPHAUSDT,LITUSDT,0.01,-3.84,-3.37,0.11,1
94,ALPHAUSDT,ETHUSDT,0.03,-3.52,-3.37,0.0,1
93,ALPHAUSDT,BOBAUSDT,0.0,-4.58,-3.37,0.34,1
92,ALPHAUSDT,ARUSDT,0.01,-3.94,-3.37,0.01,1
86,ALICEUSDT,HOTUSDT,0.01,-3.77,-3.37,1809.31,1
84,ALGOUSDT,OXTUSDT,0.0,-10.68,-3.37,26.12,1
82,ALGOUSDT,ICPUSDT,0.0,-5.61,-3.37,0.03,1
80,ALGOUSDT,GLMRUSDT,0.01,-3.81,-3.37,0.43,1
268,CHZUSDT,OPUSDT,0.04,-3.43,-3.37,0.26,1
270,CHZUSDT,USDCUSDT,0.01,-3.94,-3.37,0.32,1
272,CHZUSDT,XRDUSDT,0.03,-3.54,-3.37,7.1,1
435,FXSUSDT,XTZUSDT,0.02,-3.71,-3.37,14.17,1
427,FXSUSDT,KASUSDT,0.0,-4.56,-3.37,683.28,1
428,FXSUSDT,MATICUSDT,0.0,-5.2,-3.37,21.15,1
429,FXSUSDT,OMGUSDT,0.01,-3.85,-3.37,2.23,1
431,FXSUSDT,RENUSDT,0.04,-3.38,-3.37,31.45,1
433,FXSUSDT,USDCUSDT,0.03,-3.57,-3.37,31.73,1
434,FXSUSDT,XCNUSDT,0.03,-3.59,-3.37,30191.31,1
441,GALAUSDT,BNXUSDT,0.04,-3.45,-3.37,0.0,1
273,CHZUSDT,XVGUSDT,0.04,-3.42,-3.37,41.31,1
443,GALAUSDT,DATAUSDT,0.02,-3.6,-3.37,1.24,1
446,GALAUSDT,GLMUSDT,0.02,-3.73,-3.37,0.45,1
448,GALAUSDT,HNTUSDT,0.04,-3.41,-3.37,0.0,1
453,GALAUSDT,OGUSDT,0.0,-5.42,-3.37,0.01,1
456,GALAUSDT,SANDUSDT,0.01,-3.88,-3.37,0.07,1
458,GALAUSDT,STGUSDT,0.02,-3.64,-3.37,0.12,1
425,FXSUSDT,FLRUSDT,0.04,-3.45,-3.37,1043.81,1
423,FXSUSDT,ARPAUSDT,0.01,-3.94,-3.37,467.1,1
422,FXSUSDT,ADAUSDT,0.04,-3.38,-3.37,14.66,1
419,FTMUSDT,AAVEUSDT,0.0,-4.27,-3.37,0.0,1
418,FITFIUSDT,YGGUSDT,0.0,-inf,-3.37,0.0,1
417,FITFIUSDT,STGUSDT,0.0,-inf,-3.37,0.02,1
416,FITFIUSDT,BIGTIMEUSDT,0.0,-inf,-3.37,0.05,1
415,FITFIUSDT,BATUSDT,0.04,-3.46,-3.37,0.01,1
411,FILUSDT,LUNA2USDT,0.04,-3.38,-3.37,8.99,1
409,FILUSDT,GODSUSDT,0.04,-3.4,-3.37,158.8,1
407,FETUSDT,QTUMUSDT,0.01,-4.02,-3.37,0.03,1
406,FETUSDT,OMGUSDT,0.03,-3.49,-3.37,0.03,1
402,FETUSDT,FORTHUSDT,0.0,-4.29,-3.37,0.15,1
401,FETUSDT,AXSUSDT,0.04,-3.41,-3.37,0.01,1
399,FETUSDT,AERGOUSDT,0.03,-3.53,-3.37,2.6,1
397,ETHWUSDT,BADGERUSDT,0.04,-3.46,-3.37,3.41,1
395,ETCUSDT,NEOUSDT,0.04,-3.4,-3.37,2.26,1
460,GALAUSDT,USTCUSDT,0.02,-3.6,-3.37,1.7,1
461,GALAUSDT,XVGUSDT,0.01,-3.98,-3.37,11.87,1
464,GFTUSDT,DGBUSDT,0.0,-4.74,-3.37,3.27,1
502,GRTUSDT,QIUSDT,0.0,-4.4,-3.37,27.17,1
537,JSTUSDT,OMGUSDT,0.02,-3.6,-3.37,0.0,1
535,JSTUSDT,MOVRUSDT,0.02,-3.63,-3.37,0.01,1
532,JSTUSDT,DGBUSDT,0.03,-3.55,-3.37,1.35,1
531,JSTUSDT,ASTRUSDT,0.04,-3.41,-3.37,0.19,1
525,IMXUSDT,FLOWUSDT,0.04,-3.42,-3.37,0.59,1
522,IMXUSDT,ARPAUSDT,0.01,-3.91,-3.37,119.57,1
517,IDUSDT,FORTHUSDT,0.0,-4.57,-3.37,0.16,1
516,IDUSDT,CROUSDT,0.04,-3.38,-3.37,0.62,1
515,IDUSDT,COTIUSDT,0.0,-4.36,-3.37,1.34,1
513,ICXUSDT,1INCHUSDT,0.01,-3.85,-3.37,0.29,1
512,ICPUSDT,AKROUSDT,0.03,-3.57,-3.37,12292.68,1
511,HOTUSDT,AGIXUSDT,0.03,-3.52,-3.37,0.02,1
509,HNTUSDT,ETHUSDT,0.01,-3.92,-3.37,0.01,1
504,HNTUSDT,ANTUSDT,0.01,-4.01,-3.37,3.41,1
501,GRTUSDT,MOVRUSDT,0.0,-5.69,-3.37,0.1,1
467,GFTUSDT,ICXUSDT,0.02,-3.73,-3.37,0.15,1
499,GRTUSDT,LOOKSUSDT,0.02,-3.68,-3.37,0.16,1
497,GRTUSDT,GPTUSDT,0.02,-3.7,-3.37,6.4,1
496,GRTUSDT,GODSUSDT,0.0,-4.54,-3.37,1.91,1
494,GRTUSDT,ETHUSDT,0.04,-3.38,-3.37,0.0,1
491,GRTUSDT,BATUSDT,0.0,-4.73,-3.37,0.64,1
490,GRTUSDT,ARPAUSDT,0.0,-4.12,-3.37,9.95,1
489,GRTUSDT,ALPHAUSDT,0.02,-3.59,-3.37,1.32,1
488,GMXUSDT,AUCTIONUSDT,0.02,-3.63,-3.37,5.87,1
486,GMTUSDT,SUPERUSDT,0.04,-3.45,-3.37,2.12,1
482,GMTUSDT,GFTUSDT,0.02,-3.63,-3.37,6.52,1
481,GMTUSDT,FLMUSDT,0.03,-3.58,-3.37,4.45,1
476,GFTUSDT,XCNUSDT,0.01,-3.99,-3.37,107.35,1
475,GFTUSDT,TWTUSDT,0.04,-3.4,-3.37,0.05,1
469,GFTUSDT,LOOMUSDT,0.02,-3.67,-3.37,1.01,1
394,ETCUSDT,MATICUSDT,0.0,-4.34,-3.37,31.16,1
393,ETCUSDT,KLAYUSDT,0.02,-3.74,-3.37,36.3,1
392,ETCUSDT,JOEUSDT,0.0,-4.27,-3.37,78.48,1
297,CTKUSDT,IDEXUSDT,0.05,-3.37,-3.37,21.08,1
324,DASHUSDT,API3USDT,0.0,-4.52,-3.37,27.44,1
323,DARUSDT,XLMUSDT,0.04,-3.47,-3.37,3.2,1
322,DARUSDT,USDCUSDT,0.0,-4.12,-3.37,1.15,1
321,DARUSDT,MOVRUSDT,0.0,-4.7,-3.37,0.17,1
320,DARUSDT,FTMUSDT,0.01,-3.97,-3.37,0.94,1
319,DARUSDT,BATUSDT,0.01,-3.95,-3.37,1.09,1
318,DARUSDT,ARPAUSDT,0.0,-4.91,-3.37,16.98,1
316,CTSIUSDT,BSWUSDT,0.01,-4.03,-3.37,0.62,1
315,CTSIUSDT,BAKEUSDT,0.0,-4.52,-3.37,0.37,1
311,CTKUSDT,PHBUSDT,0.01,-3.91,-3.37,2.12,1
310,CTKUSDT,PERPUSDT,0.03,-3.49,-3.37,2.01,1
309,CTKUSDT,OMGUSDT,0.02,-3.71,-3.37,0.12,1
308,CTKUSDT,OGUSDT,0.01,-3.85,-3.37,0.18,1
298,CTKUSDT,IOSTUSDT,0.02,-3.69,-3.37,30.92,1
296,CTKUSDT,HOOKUSDT,0.02,-3.6,-3.37,0.59,1
331,DOGEUSDT,AMBUSDT,0.0,-4.18,-3.37,9.94,1
295,CTKUSDT,HIFIUSDT,0.01,-3.89,-3.37,1.24,1
294,CTKUSDT,FORTHUSDT,0.02,-3.69,-3.37,0.56,1
293,CTKUSDT,FLOWUSDT,0.01,-3.97,-3.37,0.12,1
292,CTKUSDT,ETHWUSDT,0.01,-3.9,-3.37,0.23,1
291,CTKUSDT,CYBERUSDT,0.01,-3.82,-3.37,0.39,1
289,CTKUSDT,BNXUSDT,0.01,-3.8,-3.37,0.02,1
287,CTKUSDT,BADGERUSDT,0.02,-3.67,-3.37,0.81,1
286,CTKUSDT,AXSUSDT,0.0,-4.44,-3.37,0.02,1
284,CTKUSDT,ATAUSDT,0.01,-4.1,-3.37,20.33,1
280,CTKUSDT,ACHUSDT,0.03,-3.48,-3.37,45.1,1
279,CTKUSDT,1INCHUSDT,0.02,-3.63,-3.37,0.63,1
278,CROUSDT,ARPAUSDT,0.04,-3.47,-3.37,11.29,1
277,CROUSDT,ACHUSDT,0.02,-3.67,-3.37,20.54,1
274,CKBUSDT,ETHUSDT,0.0,-5.02,-3.37,0.0,1
328,DATAUSDT,XCNUSDT,0.01,-4.02,-3.37,69.96,1
332,DOGEUSDT,API3USDT,0.0,-4.52,-3.37,0.01,1
391,EOSUSDT,BATUSDT,0.03,-3.53,-3.37,3.6,1
366,EGLDUSDT,HOOKUSDT,0.01,-3.81,-3.37,92.55,1
389,ENSUSDT,MAGICUSDT,0.02,-3.65,-3.37,82.35,1
388,ENSUSDT,HFTUSDT,0.0,-4.83,-3.37,74.41,1
387,ENSUSDT,HBARUSDT,0.03,-3.58,-3.37,139.59,1
386,ENSUSDT,COMPUSDT,0.02,-3.68,-3.37,0.11,1
384,ENSUSDT,ARKMUSDT,0.03,-3.52,-3.37,104.94,1
379,EGLDUSDT,RAREUSDT,0.03,-3.55,-3.37,2067.78,1
376,EGLDUSDT,POWRUSDT,0.03,-3.53,-3.37,994.37,1
375,EGLDUSDT,POLYXUSDT,0.0,-4.4,-3.37,955.71,1
374,EGLDUSDT,PAXGUSDT,0.03,-3.58,-3.37,13.95,1
373,EGLDUSDT,MAVUSDT,0.01,-4.08,-3.37,596.79,1
372,EGLDUSDT,MASKUSDT,0.02,-3.72,-3.37,21.77,1
371,EGLDUSDT,MANAUSDT,0.02,-3.69,-3.37,94.82,1
369,EGLDUSDT,JTOUSDT,0.01,-3.8,-3.37,81.53,1
367,EGLDUSDT,ILVUSDT,0.04,-3.43,-3.37,0.27,1
365,EGLDUSDT,HIGHUSDT,0.04,-3.39,-3.37,78.21,1
333,DOGEUSDT,APTUSDT,0.02,-3.71,-3.37,0.01,1
359,DYDXUSDT,ARBUSDT,0.03,-3.49,-3.37,17.61,1
358,DYDXUSDT,AGLDUSDT,0.04,-3.43,-3.37,21.39,1
355,DOTUSDT,ORDIUSDT,0.02,-3.65,-3.37,2.57,1
353,DOTUSDT,MTLUSDT,0.01,-3.81,-3.37,14.04,1
351,DOTUSDT,ICPUSDT,0.0,-7.83,-3.37,0.61,1
349,DOTUSDT,ETHUSDT,0.0,-4.63,-3.37,0.02,1
348,DOTUSDT,BATUSDT,0.03,-3.5,-3.37,33.4,1
347,DOTUSDT,ARPAUSDT,0.03,-3.51,-3.37,520.21,1
346,DOGEUSDT,SWEATUSDT,0.0,-4.15,-3.37,4.59,1
345,DOGEUSDT,SUSHIUSDT,0.01,-4.09,-3.37,0.01,1
342,DOGEUSDT,MTLUSDT,0.01,-3.9,-3.37,0.04,1
339,DOGEUSDT,LINAUSDT,0.01,-3.9,-3.37,3.46,1
338,DOGEUSDT,GLMRUSDT,0.01,-3.8,-3.37,0.02,1
336,DOGEUSDT,CVCUSDT,0.04,-3.4,-3.37,0.21,1
819,ZRXUSDT,GPTUSDT,0.02,-3.62,-3.37,7.64,1
